LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,CurrentJobTitleSelect,MLMethodNextYearSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkInternalVsExternalTools,FormalEducation,Age,DataScienceIdentitySelect,JobSatisfaction
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Other,Monte Carlo Methods,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,Doctoral degree,28,No,7
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,Somewhat useful,NA,Very useful,Very useful,NA,NA,Somewhat useful,Programmer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,33,No,NA
Somewhat useful,Somewhat useful,Somewhat useful,NA,NA,NA,Somewhat useful,NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,24,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Computer Scientist,Random Forests,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,30,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Data Analyst,NA,NA,Sometimes,NA,Sometimes,NA,Sometimes,NA,NA,Sometimes,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,Sometimes,Sometimes,NA,Approximately half internal and half external,Bachelor's degree,27,Sort of (Explain more),4
NA,Very useful,NA,NA,NA,Very useful,Very useful,NA,Very useful,Somewhat useful,NA,Very useful,NA,Very useful,NA,NA,NA,Somewhat useful,Statistician,Deep learning,NA,NA,NA,Sometimes,NA,Sometimes,NA,NA,Often,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,43,Yes,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA
Somewhat useful,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Very useful,NA,Very useful,NA,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,20,Yes,NA
NA,NA,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,NA,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Sort of (Explain more),NA
NA,Very useful,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,Very useful,Somewhat useful,NA,Somewhat useful,NA,NA,NA,Somewhat useful,NA,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,19,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,Very useful,NA,NA,NA,Engineer,Anomaly Detection,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,29,No,7
Very useful,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Somewhat useful,Very useful,NA,Very useful,Very useful,NA,NA,NA,NA,Text Mining,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,20,No,NA
Very useful,Somewhat useful,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,Somewhat useful,NA,Somewhat useful,NA,NA,NA,Researcher,Deep learning,Often,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,Sometimes,Sometimes,NA,Most of the time,NA,NA,Entirely internal,Doctoral degree,37,No,5
NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Researcher,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,50,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Software Developer/Software Engineer,Neural Nets,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Often,NA,Most of the time,NA,Most of the time,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,28,No,4
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,22,No,NA
NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,Scientist/Researcher,Time Series Analysis,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,38,Yes,10 - Highly Satisfied
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Social Network Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,29,Yes,NA
NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Data Analyst,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,28,No,NA
NA,NA,Somewhat useful,Somewhat useful,NA,NA,Very useful,NA,Somewhat useful,NA,NA,Somewhat useful,NA,Very useful,NA,NA,NA,NA,Other,Genetic & Evolutionary Algorithms,NA,Sometimes,NA,NA,Often,Often,NA,NA,Sometimes,Often,NA,NA,NA,NA,Often,NA,NA,Often,Often,Sometimes,Sometimes,NA,More external than internal,Bachelor's degree,52,Sort of (Explain more),8
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Somewhat useful,NA,Very useful,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Data Scientist,Monte Carlo Methods,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,Entirely external,Doctoral degree,31,NA,8
Very useful,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,30,Sort of (Explain more),NA
NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,23,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Other,Cluster Analysis,NA,NA,NA,Sometimes,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,Sometimes,NA,NA,NA,Entirely internal,Master's degree,28,No,6
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,NA,NA,Very useful,NA,Cluster Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,22,Yes,NA
NA,NA,NA,NA,NA,Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,NA,Very useful,Somewhat useful,NA,Not Useful,NA,NA,Somewhat useful,Data Scientist,Uplift Modeling,NA,Sometimes,NA,NA,Most of the time,NA,NA,Sometimes,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,56,NA,8
NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,Somewhat useful,Machine Learning Engineer,Neural Nets,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,Most of the time,NA,Sometimes,NA,NA,Often,NA,NA,NA,NA,NA,NA,More external than internal,Bachelor's degree,22,Yes,8
NA,NA,NA,NA,Somewhat useful,NA,Somewhat useful,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,Very useful,Predictive Modeler,Text Mining,Sometimes,Sometimes,NA,NA,Sometimes,Sometimes,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,Approximately half internal and half external,Master's degree,35,Sort of (Explain more),6
NA,Very useful,NA,Very useful,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Data Scientist,Deep learning,Often,NA,NA,NA,Most of the time,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,Most of the time,NA,NA,More internal than external,Doctoral degree,33,NA,7
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Somewhat useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,Entirely internal,Bachelor's degree,37,No,8
Somewhat useful,Very useful,Somewhat useful,NA,Somewhat useful,Somewhat useful,Very useful,NA,NA,Very useful,Very useful,NA,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,Data Scientist,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,Sometimes,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,More internal than external,Doctoral degree,29,NA,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Support Vector Machines (SVM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,20,No,NA
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,Very useful,NA,NA,Very useful,NA,NA,NA,NA,Other,Neural Nets,NA,NA,NA,NA,Often,NA,NA,NA,Sometimes,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,Entirely internal,Master's degree,26,No,4
NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Machine Learning Engineer,Neural Nets,NA,Often,Sometimes,Rarely,NA,NA,NA,NA,Most of the time,NA,NA,NA,Sometimes,NA,NA,NA,Rarely,NA,NA,NA,NA,NA,Do not know,Bachelor's degree,21,Yes,7
NA,Very useful,NA,NA,NA,Somewhat useful,Very useful,NA,NA,Very useful,NA,Very useful,NA,Somewhat useful,Somewhat useful,NA,Very useful,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,26,Sort of (Explain more),NA
Very useful,Very useful,NA,NA,NA,NA,Very useful,Very useful,NA,NA,Very useful,NA,Very useful,Very useful,NA,NA,NA,Somewhat useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,36,Yes,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Anomaly Detection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,36,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,NA,Software Developer/Software Engineer,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,49,No,I prefer not to share
NA,Somewhat useful,NA,NA,Very useful,Very useful,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Software Developer/Software Engineer,Time Series Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,53,No,NA
NA,NA,NA,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DBA/Database Engineer,Regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,50,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Other,Neural Nets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,28,Sort of (Explain more),5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,Other,Bayesian Methods,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More external than internal,Master's degree,28,No,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Statistician,Neural Nets,Most of the time,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Entirely internal,Doctoral degree,33,No,5
Somewhat useful,Very useful,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Very useful,NA,NA,NA,Software Developer/Software Engineer,"Ensemble Methods (e.g. boosting, bagging)",NA,Often,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,Master's degree,25,No,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some college/university study without earning a bachelor's degree,19,No,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA
NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Data Scientist,Deep learning,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Entirely internal,Bachelor's degree,33,NA,8
NA,Very useful,NA,NA,NA,NA,Very useful,NA,Very useful,NA,NA,Very useful,NA,Very useful,NA,NA,NA,NA,Data Scientist,Deep learning,NA,Sometimes,NA,NA,Often,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,Sometimes,NA,Often,NA,NA,More internal than external,Bachelor's degree,27,NA,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Data Scientist,Deep learning,Most of the time,NA,Most of the time,Most of the time,NA,Most of the time,NA,NA,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,NA,Most of the time,NA,More internal than external,Master's degree,34,NA,3
Very useful,Very useful,Somewhat useful,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,NA,Very useful,Very useful,Scientist/Researcher,Deep learning,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,Approximately half internal and half external,Master's degree,26,Yes,8
NA,Somewhat useful,NA,NA,Very useful,NA,Very useful,NA,NA,NA,Somewhat useful,Very useful,NA,NA,Somewhat useful,NA,NA,Somewhat useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,28,Sort of (Explain more),NA
Very useful,NA,Very useful,NA,Very useful,Somewhat useful,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Computer Scientist,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,NA,NA,NA,Sometimes,NA,NA,Often,NA,Entirely internal,Master's degree,28,Yes,I prefer not to share
Somewhat useful,Somewhat useful,NA,NA,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,NA,NA,Very useful,Very useful,NA,Very useful,Very useful,Very useful,Very useful,NA,Data Scientist,Deep learning,Sometimes,Often,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More external than internal,Doctoral degree,48,NA,10 - Highly Satisfied
Very useful,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,NA,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,22,Yes,NA
Very useful,Somewhat useful,NA,Somewhat useful,NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,Very useful,NA,Very useful,Very useful,NA,NA,NA,Other,Deep learning,Most of the time,Often,NA,NA,Most of the time,NA,NA,NA,Often,Sometimes,Sometimes,NA,Sometimes,Often,Most of the time,NA,NA,NA,Most of the time,NA,Often,NA,Approximately half internal and half external,Master's degree,36,Sort of (Explain more),10 - Highly Satisfied
Very useful,Very useful,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Scientist/Researcher,Other,NA,Rarely,NA,NA,Often,NA,NA,Rarely,Rarely,Sometimes,Sometimes,Rarely,NA,Rarely,Rarely,Rarely,NA,NA,NA,Often,Often,NA,More internal than external,Doctoral degree,44,No,9
Very useful,Somewhat useful,NA,NA,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,Other,"Ensemble Methods (e.g. boosting, bagging)",Often,NA,NA,NA,Most of the time,Often,NA,NA,Often,Most of the time,NA,Often,NA,NA,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,Entirely internal,Doctoral degree,39,Yes,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,Very useful,NA,Very useful,NA,NA,NA,Somewhat useful,NA,Decision Trees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,NA,Yes,NA
NA,NA,NA,Very useful,Somewhat useful,NA,Somewhat useful,NA,Somewhat useful,NA,Very useful,Very useful,NA,NA,NA,NA,NA,NA,Data Scientist,Deep learning,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA,Sometimes,NA,NA,NA,NA,NA,More internal than external,Doctoral degree,35,NA,10 - Highly Satisfied
NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,Very useful,Very useful,NA,Somewhat useful,Somewhat useful,NA,NA,NA,Statistician,Deep learning,Most of the time,NA,NA,NA,NA,NA,NA,Often,Most of the time,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,Entirely internal,Master's degree,28,Yes,6
Very useful,Very useful,Somewhat useful,Somewhat useful,NA,NA,NA,NA,NA,Somewhat useful,NA,Very useful,NA,Very useful,Somewhat useful,NA,NA,NA,Machine Learning Engineer,Monte Carlo Methods,Often,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More internal than external,Bachelor's degree,21,Yes,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,Very useful,NA,NA,NA,NA,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,36,Yes,NA
NA,Very useful,NA,NA,NA,NA,Very useful,Somewhat useful,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,NA,Data Analyst,Deep learning,NA,Often,NA,NA,NA,NA,NA,NA,Sometimes,NA,Often,Rarely,NA,NA,NA,NA,NA,NA,Often,Most of the time,NA,NA,More internal than external,Master's degree,24,Yes,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA
NA,Very useful,NA,NA,NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,Data Analyst,Text Mining,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,Often,NA,NA,NA,Often,NA,More external than internal,Doctoral degree,44,Sort of (Explain more),7
NA,NA,NA,NA,NA,NA,Very useful,NA,NA,NA,Very useful,NA,NA,NA,NA,NA,NA,Very useful,Software Developer/Software Engineer,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,NA,Most of the time,NA,Entirely internal,Bachelor's degree,28,No,3
NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,Very useful,NA,NA,Somewhat useful,NA,NA,NA,Somewhat useful,Data Scientist,Deep learning,Sometimes,Sometimes,NA,Often,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,NA,NA,NA,NA,NA,Approximately half internal and half external,Master's degree,26,NA,10 - Highly Satisfied
Somewhat useful,NA,Somewhat useful,Somewhat useful,Somewhat useful,NA,Somewhat useful,NA,Somewhat useful,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Somewhat useful,Machine Learning Engineer,Time Series Analysis,Often,NA,NA,NA,Most of the time,NA,NA,Sometimes,Often,Sometimes,NA,NA,NA,Sometimes,NA,NA,Often,NA,NA,Sometimes,Often,NA,Approximately half internal and half external,Doctoral degree,50,Yes,8
Very useful,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat useful,NA,NA,Very useful,NA,NA,Very useful,Data Scientist,Bayesian Methods,Most of the time,Most of the time,NA,NA,Sometimes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,NA,Entirely internal,Master's degree,37,NA,9
NA,NA,NA,NA,NA,NA,Very useful,Somewhat useful,NA,NA,Somewhat useful,Somewhat useful,NA,NA,NA,NA,Very useful,Very useful,Software Developer/Software Engineer,Genetic & Evolutionary Algorithms,Sometimes,NA,NA,NA,Most of the time,Sometimes,NA,Sometimes,Often,NA,Often,NA,NA,NA,NA,NA,NA,NA,Most of the time,Sometimes,NA,NA,Entirely internal,Doctoral degree,47,Sort of (Explain more),5
NA,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scientist/Researcher,Deep learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Often,NA,Entirely internal,Master's degree,79,Yes,10 - Highly Satisfied
NA,Very useful,NA,NA,NA,NA,Very useful,NA,NA,NA,Somewhat useful,NA,NA,NA,NA,NA,NA,NA,Machine Learning Engineer,Other,NA,NA,NA,NA,Most of the time,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time,NA,NA,Often,NA,NA,NA,Most of the time,NA,Entirely internal,Master's degree,27,Yes,9
